Year,Month,Day,Hour,Minute,Temperature,Pressure,Relative Humidity
2017,1,1,0,0,0.6000000000000001,920,97.99000000000001
2017,1,1,0,15,0.6000000000000001,920,97.99000000000001
2017,1,1,0,30,0.6000000000000001,920,97.99000000000001
2017,1,1,0,45,0.6000000000000001,920,97.99000000000001
2017,1,1,1,0,-3.2,921,74.05
2017,1,1,1,15,-3.3000000000000003,921,74.61
2017,1,1,1,30,-3.3000000000000003,920,74.52
2017,1,1,1,45,-3.3000000000000003,920,74.05
2017,1,1,2,0,-3.4000000000000004,920,74.60000000000001
2017,1,1,2,15,-3.4000000000000004,920,74.60000000000001
2017,1,1,2,30,-3.4000000000000004,920,74.60000000000001
2017,1,1,2,45,-3.4000000000000004,920,74.49
2017,1,1,3,0,-3.5,920,75.05
2017,1,1,3,15,-3.5,919,74.97
2017,1,1,3,30,-3.5,919,74.97
2017,1,1,3,45,-3.5,919,75.01
2017,1,1,4,0,-3.6,919,75.57000000000001
2017,1,1,4,15,-3.6,919,75.57000000000001
2017,1,1,4,30,-3.6,919,75.57000000000001
2017,1,1,4,45,-3.6,919,75.72
2017,1,1,5,0,-3.6,919,75.72
2017,1,1,5,15,-3.7,918,76.21000000000001
2017,1,1,5,30,-3.7,918,76.21000000000001
2017,1,1,5,45,-3.7,918,76.54
2017,1,1,6,0,-3.7,918,76.54
2017,1,1,6,15,-3.7,918,76.54
2017,1,1,6,30,-3.7,918,76.54
2017,1,1,6,45,-3.7,918,77.05
2017,1,1,7,0,-3.7,918,77.05
2017,1,1,7,15,-3.7,918,77.05
2017,1,1,7,30,-3.7,918,77.05
2017,1,1,7,45,-3.6,918,77.2
2017,1,1,8,0,-3.6,918,77.2
2017,1,1,8,15,-3.2,918,74.93
2017,1,1,8,30,-2.8000000000000003,918,72.74
2017,1,1,8,45,-2.5,918,73.66
2017,1,1,9,0,-2.1,918,71.51
2017,1,1,9,15,-1.5,918,68.43
2017,1,1,9,30,-1,917,65.89
2017,1,1,9,45,-0.5,917,65.99
2017,1,1,10,0,0.1,917,63.18
2017,1,1,10,15,0.7000000000000001,917,60.5
2017,1,1,10,30,1.3,917,57.94
2017,1,1,10,45,1.9000000000000001,917,57.83
2017,1,1,11,0,2.6,917,55.02
2017,1,1,11,15,3,917,53.49
2017,1,1,11,30,3.4000000000000004,917,52
2017,1,1,11,45,3.8000000000000003,917,52.5
2017,1,1,12,0,4.2,916,51
2017,1,1,12,15,4.4,916,50.29
2017,1,1,12,30,4.6000000000000005,916,49.59
2017,1,1,12,45,4.9,916,49.63
2017,1,1,13,0,5.1000000000000005,915,48.89
2017,1,1,13,15,5.2,915,48.550000000000004
2017,1,1,13,30,5.300000000000001,915,48.22
2017,1,1,13,45,5.4,915,48.230000000000004
2017,1,1,14,0,5.5,915,47.9
2017,1,1,14,15,5.4,914,48.18
2017,1,1,14,30,5.300000000000001,914,48.52
2017,1,1,14,45,5.2,914,49.64
2017,1,1,15,0,5.2,914,49.64
2017,1,1,15,15,4.7,914,51.4
2017,1,1,15,30,4.3,914,52.86
2017,1,1,15,45,3.8000000000000003,914,58.9
2017,1,1,16,0,3.4000000000000004,914,60.58
2017,1,1,16,15,2.3000000000000003,914,65.49
2017,1,1,16,30,1.2000000000000002,914,70.84
2017,1,1,16,45,0.2,914,73.53
2017,1,1,17,0,-0.9,914,79.65
2017,1,1,17,15,-1.3,914,82.02
2017,1,1,17,30,-1.7000000000000002,914,84.46000000000001
2017,1,1,17,45,-2,914,84.79
2017,1,1,18,0,-2.4000000000000004,914,87.33
2017,1,1,18,15,-2.5,914,87.98
2017,1,1,18,30,-2.5,914,87.98
2017,1,1,18,45,-2.6,914,88.96000000000001
2017,1,1,19,0,-2.6,914,88.96000000000001
2017,1,1,19,15,-2.7,914,89.62
2017,1,1,19,30,-2.7,913,89.52
2017,1,1,19,45,-2.8000000000000003,913,90.03
2017,1,1,20,0,-2.8000000000000003,913,90.03
2017,1,1,20,15,-2.8000000000000003,913,90.03
2017,1,1,20,30,-2.8000000000000003,913,90.03
2017,1,1,20,45,-2.7,913,88.38
2017,1,1,21,0,-2.7,913,88.38
2017,1,1,21,15,-2.6,913,87.73
2017,1,1,21,30,-2.4000000000000004,913,86.44
2017,1,1,21,45,-2.3000000000000003,913,84.3
2017,1,1,22,0,-2.2,913,83.68
2017,1,1,22,15,-2.1,913,83.07000000000001
