Year,Month,Day,Hour,Spot_Price1,Spot_Price2,DateTime
2024,1,1,1,63.33,63.33,01/01/2024 1:00
2024,1,1,2,50.09,50.09,01/01/2024 2:00
2024,1,1,3,47.5,47.5,01/01/2024 3:00
2024,1,1,4,43.5,43.5,01/01/2024 4:00
2024,1,1,5,42.5,42.5,01/01/2024 5:00
2024,1,1,6,42.09,42.09,01/01/2024 6:00
2024,1,1,7,42.5,42.5,01/01/2024 7:00
2024,1,1,8,42.59,42.59,01/01/2024 8:00
2024,1,1,9,43.37,43.37,01/01/2024 9:00
2024,1,1,10,42.29,42.29,01/01/2024 10:00
2024,1,1,11,35.61,25,01/01/2024 11:00
2024,1,1,12,29.8,3.9,01/01/2024 12:00
2024,1,1,13,3.2,3.2,01/01/2024 13:00
2024,1,1,14,2.06,2.06,01/01/2024 14:00
2024,1,1,15,1.73,1.73,01/01/2024 15:00
2024,1,1,16,5.72,5.72,01/01/2024 16:00
2024,1,1,17,18.49,18.49,01/01/2024 17:00
2024,1,1,18,37,37,01/01/2024 18:00
2024,1,1,19,47.5,47.5,01/01/2024 19:00
2024,1,1,20,54.97,54.97,01/01/2024 20:00
2024,1,1,21,60.9,60.9,01/01/2024 21:00
2024,1,1,22,60,60,01/01/2024 22:00
2024,1,1,23,47.5,47.5,01/01/2024 23:00
2024,1,1,24,42.09,42.09,02/01/2024 0:00
2024,1,2,1,37.8,37.8,02/01/2024 1:00
2024,1,2,2,25.61,25,02/01/2024 2:00
2024,1,2,3,20.61,3.99,02/01/2024 3:00
2024,1,2,4,14.54,14,02/01/2024 4:00
2024,1,2,5,13.21,10,02/01/2024 5:00
2024,1,2,6,14.54,14.54,02/01/2024 6:00
2024,1,2,7,36.29,36.29,02/01/2024 7:00
2024,1,2,8,44.7,44.7,02/01/2024 8:00
2024,1,2,9,53.78,53.78,02/01/2024 9:00
2024,1,2,10,54.23,54.23,02/01/2024 10:00
2024,1,2,11,50,50,02/01/2024 11:00
2024,1,2,12,52.2,52.2,02/01/2024 12:00
2024,1,2,13,45,45,02/01/2024 13:00
2024,1,2,14,43,43,02/01/2024 14:00
2024,1,2,15,43,43,02/01/2024 15:00
2024,1,2,16,40.99,40.99,02/01/2024 16:00
2024,1,2,17,43.66,43.66,02/01/2024 17:00
2024,1,2,18,52.2,52.2,02/01/2024 18:00
2024,1,2,19,57.77,57.77,02/01/2024 19:00
2024,1,2,20,62.45,62.45,02/01/2024 20:00
2024,1,2,21,58,58,02/01/2024 21:00
2024,1,2,22,52.83,52.83,02/01/2024 22:00
2024,1,2,23,46.26,46.26,02/01/2024 23:00
2024,1,2,24,40.1,40.1,03/01/2024 0:00
2024,1,3,1,6.8,6.8,03/01/2024 1:00
2024,1,3,2,3.2,3.2,03/01/2024 2:00
2024,1,3,3,3.2,3.2,03/01/2024 3:00
2024,1,3,4,3.2,3.2,03/01/2024 4:00
2024,1,3,5,3.2,3.2,03/01/2024 5:00
2024,1,3,6,2.21,2.21,03/01/2024 6:00
2024,1,3,7,4.78,4.78,03/01/2024 7:00
2024,1,3,8,45.42,45.42,03/01/2024 8:00
2024,1,3,9,61.92,61.92,03/01/2024 9:00
2024,1,3,10,67,67,03/01/2024 10:00
2024,1,3,11,63.6,63.6,03/01/2024 11:00
2024,1,3,12,58.5,57.1,03/01/2024 12:00
2024,1,3,13,63.6,55,03/01/2024 13:00
2024,1,3,14,63.35,55.42,03/01/2024 14:00
