Year,Month,Day,Hour,Spot_Price1,Spot_Price2,DateTime
2027,1,1,1,66.66,66.66,2027-01-01 00:00:00
2027,1,1,2,61.0,61.0,2027-01-01 01:00:00
2027,1,1,3,58.03,58.03,2027-01-01 02:00:00
2027,1,1,4,55.94,55.94,2027-01-01 03:00:00
2027,1,1,5,54.93,54.93,2027-01-01 04:00:00
2027,1,1,6,56.38,56.38,2027-01-01 05:00:00
2027,1,1,7,61.26,61.26,2027-01-01 06:00:00
2027,1,1,8,69.48,69.48,2027-01-01 07:00:00
2027,1,1,9,71.33,71.33,2027-01-01 08:00:00
2027,1,1,10,68.9,68.9,2027-01-01 09:00:00
2027,1,1,11,66.61,66.61,2027-01-01 10:00:00
2027,1,1,12,61.76,61.76,2027-01-01 11:00:00
2027,1,1,13,59.92,59.92,2027-01-01 12:00:00
2027,1,1,14,58.82,58.82,2027-01-01 13:00:00
2027,1,1,15,57.13,57.13,2027-01-01 14:00:00
2027,1,1,16,56.17,56.17,2027-01-01 15:00:00
2027,1,1,17,60.54,60.54,2027-01-01 16:00:00
2027,1,1,18,71.19,71.19,2027-01-01 17:00:00
2027,1,1,19,80.91,80.91,2027-01-01 18:00:00
2027,1,1,20,94.23,94.23,2027-01-01 19:00:00
2027,1,1,21,94.62,94.62,2027-01-01 20:00:00
2027,1,1,22,85.33,85.33,2027-01-01 21:00:00
2027,1,1,23,77.36,77.36,2027-01-01 22:00:00
2027,1,1,24,72.17,72.17,2027-01-01 23:00:00
2027,1,2,1,66.66,66.66,2027-01-02 00:00:00
2027,1,2,2,61.0,61.0,2027-01-02 01:00:00
2027,1,2,3,58.03,58.03,2027-01-02 02:00:00
2027,1,2,4,55.94,55.94,2027-01-02 03:00:00
2027,1,2,5,54.93,54.93,2027-01-02 04:00:00
2027,1,2,6,56.38,56.38,2027-01-02 05:00:00
2027,1,2,7,61.26,61.26,2027-01-02 06:00:00
2027,1,2,8,69.48,69.48,2027-01-02 07:00:00
2027,1,2,9,71.33,71.33,2027-01-02 08:00:00
2027,1,2,10,68.9,68.9,2027-01-02 09:00:00
2027,1,2,11,66.61,66.61,2027-01-02 10:00:00
2027,1,2,12,61.76,61.76,2027-01-02 11:00:00
2027,1,2,13,59.92,59.92,2027-01-02 12:00:00
2027,1,2,14,58.82,58.82,2027-01-02 13:00:00
2027,1,2,15,57.13,57.13,2027-01-02 14:00:00
2027,1,2,16,56.17,56.17,2027-01-02 15:00:00
2027,1,2,17,60.54,60.54,2027-01-02 16:00:00
2027,1,2,18,71.19,71.19,2027-01-02 17:00:00
2027,1,2,19,80.91,80.91,2027-01-02 18:00:00
2027,1,2,20,94.23,94.23,2027-01-02 19:00:00
2027,1,2,21,94.62,94.62,2027-01-02 20:00:00
2027,1,2,22,85.33,85.33,2027-01-02 21:00:00
2027,1,2,23,77.36,77.36,2027-01-02 22:00:00
2027,1,2,24,72.17,72.17,2027-01-02 23:00:00
2027,1,3,1,66.66,66.66,2027-01-03 00:00:00
2027,1,3,2,61.0,61.0,2027-01-03 01:00:00
2027,1,3,3,58.03,58.03,2027-01-03 02:00:00
