Year,Month,Day,Hour,Minute,Temperature,Pressure,Relative Humidity,DNI,GHI,DHI,Solar Zenith Angle,Surface Albedo
2017,1,1,0,0,7.4,1023,100,0,0,0,156.45000000000002,0.21
2017,1,1,0,15,7.4,1023,100,0,0,0,158.9,0.21
2017,1,1,0,30,7.4,1023,100,0,0,0,161.12,0.21
2017,1,1,0,45,7.4,1023,100,0,0,0,163.02,0.21
2017,1,1,1,0,6.4,1019,97.15,0,0,0,164.46,0.19
2017,1,1,1,15,6.300000000000001,1019,97.82000000000001,0,0,0,165.36,0.19
2017,1,1,1,30,6.300000000000001,1019,97.82000000000001,0,0,0,165.57,0.19
2017,1,1,1,45,6.2,1019,98.42,0,0,0,165.08,0.19
2017,1,1,2,0,6.1000000000000005,1019,99.10000000000001,0,0,0,163.94,0.19
2017,1,1,2,15,6,1018,99.69,0,0,0,162.29,0.19
2017,1,1,2,30,5.9,1018,100,0,0,0,160.24,0.19
2017,1,1,2,45,5.800000000000001,1018,100,0,0,0,157.92000000000002,0.19
2017,1,1,3,0,5.7,1018,100,0,0,0,155.4,0.19
2017,1,1,3,15,5.6000000000000005,1018,100,0,0,0,152.74,0.19
2017,1,1,3,30,5.5,1018,100,0,0,0,149.98,0.19
2017,1,1,3,45,5.4,1018,100,0,0,0,147.15,0.19
2017,1,1,4,0,5.300000000000001,1018,100,0,0,0,144.26,0.19
2017,1,1,4,15,5.2,1018,100,0,0,0,141.34,0.19
2017,1,1,4,30,5.1000000000000005,1017,100,0,0,0,138.4,0.19
2017,1,1,4,45,5,1017,100,0,0,0,135.43,0.19
2017,1,1,5,0,4.9,1017,100,0,0,0,132.46,0.19
2017,1,1,5,15,4.800000000000001,1017,100,0,0,0,129.48,0.19
2017,1,1,5,30,4.7,1017,100,0,0,0,126.51,0.19
2017,1,1,5,45,4.6000000000000005,1017,100,0,0,0,123.53,0.19
2017,1,1,6,0,4.5,1017,100,0,0,0,120.57000000000001,0.19
2017,1,1,6,15,4.4,1017,100,0,0,0,117.62,0.19
2017,1,1,6,30,4.4,1017,100,0,0,0,114.69,0.19
2017,1,1,6,45,4.3,1017,100,0,0,0,111.77,0.19
2017,1,1,7,0,4.2,1017,100,0,0,0,108.88,0.19
2017,1,1,7,15,4.2,1017,100,0,0,0,106.02,0.19
2017,1,1,7,30,4.3,1017,100,0,0,0,103.19,0.19
2017,1,1,7,45,4.3,1017,100,0,0,0,100.39,0.19
2017,1,1,8,0,4.3,1017,100,0,0,0,97.63,0.19
2017,1,1,8,15,4.800000000000001,1017,100,0,0,0,94.92,0.19
2017,1,1,8,30,5.4,1017,100,0,0,0,92.25,0.19
2017,1,1,8,45,6,1017,100,0,0,0,89.19,0.19
2017,1,1,9,0,6.5,1017,97.12,190,34,23,86.84,0.19
2017,1,1,9,15,7.2,1017,92.57000000000001,317,66,36,84.43,0.19
2017,1,1,9,30,7.800000000000001,1017,88.87,419,104,46,82.06,0.19
2017,1,1,9,45,8.4,1017,88.52,500,143,54,79.74,0.19
2017,1,1,10,0,9,1017,85.01,565,184,61,77.5,0.19
2017,1,1,10,15,9.600000000000001,1017,81.66,616,223,67,75.36,0.19
2017,1,1,10,30,10.100000000000001,1017,78.97,659,262,72,73.31,0.19
2017,1,1,10,45,10.700000000000001,1017,78.16,690,298,78,71.37,0.19
2017,1,1,11,0,11.200000000000001,1017,75.61,719,333,81,69.56,0.19
2017,1,1,11,15,11.600000000000001,1017,73.64,743,365,85,67.88,0.19
2017,1,1,11,30,12,1017,71.73,760,393,87,66.34,0.19
2017,1,1,11,45,12.4,1017,70.91,777,419,90,64.96000000000001,0.19
2017,1,1,12,0,12.8,1017,69.08,791,442,92,63.74,0.19
2017,1,1,12,15,13,1016,68.12,803,461,93,62.690000000000005,0.19
2017,1,1,12,30,13.3,1016,66.8,811,478,95,61.83,0.19
2017,1,1,12,45,13.600000000000001,1016,65.33,841,494,88,61.15,0.19
2017,1,1,13,0,13.9,1015,64.01,846,503,89,60.68,0.19
2017,1,1,13,15,14,1015,63.6,848,508,89,60.410000000000004,0.19
2017,1,1,13,30,14.100000000000001,1015,63.190000000000005,849,509,89,60.34,0.19
2017,1,1,13,45,14.3,1015,61.480000000000004,847,506,89,60.480000000000004,0.19
2017,1,1,14,0,14.4,1014,61.02,844,500,89,60.82,0.19
2017,1,1,14,15,14.5,1014,60.63,839,490,87,61.370000000000005,0.19
2017,1,1,14,30,14.5,1014,60.63,832,476,86,62.11,0.19
2017,1,1,14,45,14.600000000000001,1014,59.42,822,458,85,63.04,0.19
2017,1,1,15,0,14.600000000000001,1014,59.42,811,437,84,64.15,0.19
2017,1,1,15,15,14.5,1013,59.75,516,342,127,65.43,0.19
2017,1,1,15,30,14.4,1013,60.13,177,236,167,66.87,0.19
2017,1,1,15,45,14.3,1013,61.7,202,226,152,68.46000000000001,0.19
2017,1,1,16,0,14.3,1013,61.7,438,257,109,70.19,0.19
2017,1,1,16,15,13.9,1013,63.32,495,241,88,72.04,0.19
2017,1,1,16,30,13.5,1013,64.98,665,248,65,74.02,0.19
2017,1,1,16,45,13.200000000000001,1013,69.77,628,210,59,76.10000000000001,0.19
2017,1,1,17,0,12.8,1013,71.61,574,170,54,78.29,0.19
2017,1,1,17,15,12.4,1013,73.51,506,130,47,80.55,0.19
2017,1,1,17,30,12,1013,75.46000000000001,420,91,39,82.89,0.19
2017,1,1,17,45,11.600000000000001,1013,68.7,319,55,29,85.29,0.19
2017,1,1,18,0,11.200000000000001,1012,70.47,178,25,18,87.69,0.19
2017,1,1,18,15,11,1012,71.41,0,0,0,89.98,0.19
2017,1,1,18,30,10.8,1012,72.36,0,0,0,93.18,0.19
2017,1,1,18,45,10.5,1012,72.78,0,0,0,95.87,0.19
2017,1,1,19,0,10.3,1012,73.75,0,0,0,98.60000000000001,0.19
2017,1,1,19,15,10,1012,75.24,0,0,0,101.37,0.19
2017,1,1,19,30,9.600000000000001,1012,77.28,0,0,0,104.18,0.19
2017,1,1,19,45,9.3,1012,78.71000000000001,0,0,0,107.03,0.19
2017,1,1,20,0,9,1012,80.31,0,0,0,109.9,0.19
2017,1,1,20,15,8.700000000000001,1012,81.95,0,0,0,112.8,0.19
2017,1,1,20,30,8.4,1012,83.63,0,0,0,115.72,0.19
2017,1,1,20,45,8.200000000000001,1012,84.42,0,0,0,118.66,0.19
2017,1,1,21,0,7.9,1012,86.15,0,0,0,121.61,0.19
2017,1,1,21,15,7.7,1012,87.33,0,0,0,124.58,0.19
2017,1,1,21,30,7.5,1012,88.53,0,0,0,127.55,0.19
2017,1,1,21,45,7.300000000000001,1012,89.92,0,0,0,130.53,0.19
2017,1,1,22,0,7.1000000000000005,1012,91.15,0,0,0,133.51,0.19
2017,1,1,22,15,7,1012,91.78,0,0,0,136.48,0.19
2017,1,1,22,30,6.800000000000001,1012,93.04,0,0,0,139.43,0.19
2017,1,1,22,45,6.7,1012,94.11,0,0,0,142.37,0.19
2017,1,1,23,0,6.6000000000000005,1012,94.76,0,0,0,145.28,0.19
2017,1,1,23,15,6.4,1012,96.07000000000001,0,0,0,148.14000000000001,0.19
2017,1,1,23,30,6.300000000000001,1012,96.73,0,0,0,150.95000000000002,0.19
2017,1,1,23,45,6.2,1012,97.81,0,0,0,153.67000000000002,0.19
2017,1,2,0,0,6.1000000000000005,1012,98.48,0,0,0,156.28,0.19
2017,1,2,0,15,6.1000000000000005,1012,98.48,0,0,0,158.73,0.19
2017,1,2,0,30,6.1000000000000005,1012,98.48,0,0,0,160.96,0.19
2017,1,2,0,45,6.1000000000000005,1012,98.48,0,0,0,162.87,0.19
2017,1,2,1,0,5.7,1011,100,0,0,0,164.34,0.19
2017,1,2,1,15,5.7,1011,100,0,0,0,165.26,0.19
2017,1,2,1,30,5.7,1011,100,0,0,0,165.49,0.19
2017,1,2,1,45,5.6000000000000005,1011,100,0,0,0,165.02,0.19
2017,1,2,2,0,5.6000000000000005,1010,100,0,0,0,163.91,0.19
2017,1,2,2,15,5.7,1010,100,0,0,0,162.27,0.19
2017,1,2,2,30,5.7,1010,100,0,0,0,160.24,0.19
2017,1,2,2,45,5.800000000000001,1010,100,0,0,0,157.93,0.19
2017,1,2,3,0,5.800000000000001,1010,100,0,0,0,155.42000000000002,0.19
2017,1,2,3,15,5.9,1010,100,0,0,0,152.77,0.19
2017,1,2,3,30,5.9,1010,100,0,0,0,150.02,0.19
2017,1,2,3,45,5.9,1010,100,0,0,0,147.19,0.19
2017,1,2,4,0,6,1010,100,0,0,0,144.31,0.19
2017,1,2,4,15,6,1010,100,0,0,0,141.39000000000001,0.19
2017,1,2,4,30,6,1009,100,0,0,0,138.44,0.19
2017,1,2,4,45,6.1000000000000005,1009,99.07000000000001,0,0,0,135.48,0.19
2017,1,2,5,0,6.1000000000000005,1009,99.07000000000001,0,0,0,132.51,0.19
2017,1,2,5,15,6.1000000000000005,1009,99.07000000000001,0,0,0,129.53,0.19
2017,1,2,5,30,6.1000000000000005,1009,99.07000000000001,0,0,0,126.56,0.19
2017,1,2,5,45,6.1000000000000005,1009,98.72,0,0,0,123.58,0.19
2017,1,2,6,0,6.1000000000000005,1009,98.72,0,0,0,120.62,0.19
