datetime,DA,IDA1,IDA2,IDA3
12/31/2019 0:00,38.64,35.02,33.705,0
12/31/2019 1:00,35.29,32.79,32.13,0
12/31/2019 2:00,33.525,31.395,31,0
12/31/2019 3:00,30.555,30.385,31.19,0
12/31/2019 4:00,29.635,29.685,30.625,0
12/31/2019 5:00,29.445,29.445,30.435,0
12/31/2019 6:00,32.165,31.8,30.46,0
12/31/2019 7:00,36.035,35.66,35.685,0
12/31/2019 8:00,37.77,37.845,38.14,0
12/31/2019 9:00,37.955,38.225,38.255,0
12/31/2019 10:00,37.92,38.045,38.24,0
12/31/2019 11:00,37.715,37.84,38.115,0
12/31/2019 12:00,38.075,38.25,38.075,39.455
12/31/2019 13:00,37.47,37.595,37.32,38.9
12/31/2019 14:00,37.405,37.48,36.85,37.215
12/31/2019 15:00,38.025,38.025,36.92,38.03
12/31/2019 16:00,40.175,38.905,38,39.375
12/31/2019 17:00,43.225,42.87,41.275,42.305
12/31/2019 18:00,45.385,44.435,43.92,44.31
12/31/2019 19:00,46.135,45.41,45.145,45.45
12/31/2019 20:00,43.86,42.81,45.23,42.61
12/31/2019 21:00,43.8,42.925,35.24,42.77
12/31/2019 22:00,40.75,40,34.38,39.625
12/31/2019 23:00,35.47,34.655,32.75,36.055
1/1/2020 0:00,41.88,35.71,36.41,0
1/1/2020 1:00,38.6,33.6,32.6,0
1/1/2020 2:00,36.55,32.29,31,0
1/1/2020 3:00,32.32,31.98,32.32,0
1/1/2020 4:00,30.85,30.95,31.25,0
1/1/2020 5:00,30.14,30.14,30.88,0
1/1/2020 6:00,30.17,30.17,30.17,0
1/1/2020 7:00,30,30.25,30,0
1/1/2020 8:00,30.65,30.8,30.65,0
1/1/2020 9:00,30.65,30.9,30.25,0
1/1/2020 10:00,30.27,30.52,30.15,0
1/1/2020 11:00,30.34,30.59,30.15,0
1/1/2020 12:00,30.99,31.24,29.99,32
1/1/2020 13:00,30.04,30.29,29,31.57
1/1/2020 14:00,30.75,30.9,29,29.75
1/1/2020 15:00,32.11,32.11,29.18,32
1/1/2020 16:00,35.98,33.43,30.64,33.08
1/1/2020 17:00,40.4,39.59,35.5,36.53
1/1/2020 18:00,44.05,41.82,39.64,39.87
1/1/2020 19:00,46.16,44.66,43.18,42.76
1/1/2020 20:00,44.02,42.02,40.56,40.2
1/1/2020 21:00,45.6,44.1,44.04,42.24
1/1/2020 22:00,42.9,41.4,40.65,39.75
1/1/2020 23:00,37.55,35.92,33.775,35.72
1/2/2020 0:00,35.4,34.33,31,0
1/2/2020 1:00,31.98,31.98,31.66,0
1/2/2020 2:00,30.5,30.5,31,0
1/2/2020 3:00,28.79,28.79,30.06,0
1/2/2020 4:00,28.42,28.42,30,0
1/2/2020 5:00,28.75,28.75,29.99,0
1/2/2020 6:00,34.16,33.43,30.75,0
1/2/2020 7:00,42.07,41.07,41.37,0
1/2/2020 8:00,44.89,44.89,45.63,0
1/2/2020 9:00,45.26,45.55,46.26,0
1/2/2020 10:00,45.57,45.57,46.33,0
1/2/2020 11:00,45.09,45.09,46.08,0
1/2/2020 12:00,45.16,45.26,46.16,46.91
1/2/2020 13:00,44.9,44.9,45.64,46.23
1/2/2020 14:00,44.06,44.06,44.7,44.68
1/2/2020 15:00,43.94,43.94,44.66,44.06
1/2/2020 16:00,44.37,44.38,45.36,45.67
1/2/2020 17:00,46.05,46.15,47.05,48.08
1/2/2020 18:00,46.72,47.05,48.2,48.75
1/2/2020 19:00,46.11,46.16,47.11,48.14
1/2/2020 20:00,43.7,43.6,46.115,45.02
1/2/2020 21:00,42,41.75,44.98,43.3
1/2/2020 22:00,38.6,38.6,43.09,39.5
1/2/2020 23:00,33.39,33.39,36.45,36.39
1/3/2020 0:00,32.05,40.01,38.01,0
1/3/2020 1:00,30.75,35.75,34.75,0
