Year,Trading_Cashflow,Electricity_sold_earnings,Electricity_purchased_cost,RCS_OpEx_Cashflow,RPS_OpEx_Cashflow,RSS_Cashflow,Grid_Toll_Cashflow,EBITDA,Energy_In,Energy_Out,rps_startups,rcs_startups,avr_elec_price_purchase,avr_elec_price_sell,aoh_rps (Est),aoh_rcs (Est),EBITDA_nominal,rcs_maintenance,Debt_payment,Interest_payment,Debt_remaining,Amortization,EBT,Taxes,Cumulative_Loss,BAI,Cashflow
2024,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,9892819.611637717,0,23013315.19298086,19990122.319909044,282549983.1256288,13598722.666604793,-23696025.37487612,0.0,23696025.37487612,-23696025.37487612,-13120495.581343142
2025,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,10100568.823482107,0,23013315.19298086,19778498.818794016,279315166.75144196,13598722.666604793,-23276652.661916703,0.0,46972678.03679282,-23276652.661916703,-12912746.369498752
2026,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,10312680.768775232,0,23013315.19298086,19552061.672600936,275853913.23106205,13598722.666604793,-22838103.570430495,0.0,69810781.60722332,-22838103.570430495,-12700634.424205627
2027,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,10529247.064919513,0,23013315.19298086,19309773.926174346,272150371.9642556,13598722.666604793,-22379249.52785963,0.0,92190031.13508295,-22379249.52785963,-12484068.128061347
2028,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,10750361.25328282,0,23013315.19298086,19050526.03749789,268187582.8087726,13598722.666604793,-21898887.45081986,0.0,114088918.58590281,-21898887.45081986,-12262953.939698039
2029,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,10976118.839601759,0,23013315.19298086,18773130.79661408,263947398.41240582,13598722.666604793,-21395734.623617113,0.0,135484653.20951992,-21395734.623617113,-12037196.3533791
2030,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,11206617.335233394,0,23013315.19298086,18476317.888868406,259410401.10829335,13598722.666604793,-20868423.220239803,0.0,156353076.42975974,-20868423.220239803,-11806697.857747465
2031,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,11441956.299273293,0,23013315.19298086,18158728.077580534,254555813.99289304,13598722.666604793,-20315494.44491203,0.0,176668570.87467176,-20315494.44491203,-11571358.893707566
2032,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,11682237.381558033,0,23013315.19298086,17818906.979502514,249361405.77941468,13598722.666604793,-19735392.264549274,0.0,196403963.13922104,-19735392.264549274,-11331077.811422827
2033,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,11927564.36657075,0,23013315.19298086,17455298.404559027,243803388.99099284,13598722.666604793,-19126456.70459307,0.0,215530419.8438141,-19126456.70459307,-11085750.82641011
2034,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,12178043.218268733,0,23013315.19298086,17066237.2293695,237856311.02738148,13598722.666604793,-18486916.677705556,0.0,234017336.52151966,-18486916.677705556,-10835271.974712126
2035,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,12433782.125852378,0,23013315.19298086,16649941.771916704,231492937.6063173,13598722.666604793,-17814882.31266912,0.0,251832218.8341888,-17814882.31266912,-10579533.067128481
2036,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944,12694891.550495276,0,23013315.19298086,16204505.632442212,224684128.04577866,13598722.666604793,-17108336.748551726,0.0,268940555.58274055,-17108336.748551726,-10318423.642485583
