Year,Trading_Cashflow,Electricity_sold_earnings,Electricity_purchased_cost,RCS_OpEx_Cashflow,RPS_OpEx_Cashflow,RSS_Cashflow,Grid_Toll_Cashflow,EBITDA,Energy_In,Energy_Out,rps_startups,rcs_startups,avr_elec_price_purchase,avr_elec_price_sell,aoh_rps (Est),aoh_rcs (Est)
2024,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2025,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2026,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2027,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2028,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2029,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2030,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2031,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2032,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2033,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2034,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2035,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2036,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2037,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2038,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2039,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2040,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2041,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2042,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2043,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2044,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2045,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2046,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2047,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2048,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2049,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
2050,83439781.52255914,85774073.394242,-2334291.8716828716,-73473982.80902037,-275395.4631614194,-1059.8501445000002,0.0,9689343.40023283,47550.16107265683,-743005.594896,188,262,49.091145414125194,115.44202894763932,622.9957776744186,2057.047604916944
